year,ISO_code,countries,ECONOMIC FREEDOM,rank,quartile,1a_government_consumption,1b_transfers,1c_gov_enterprises,1_size_government,2c_protection_property_rights,2e_integrity_legal_system,2j_gender_adjustment,2_property_rights,3a_money_growth,3b_std_inflation,3c_inflation,3d_freedom_own_foreign_currency,3_sound_money,4a_tariffs,4c_black_market,4d_control_movement_capital_ppl,4_trade,5a_credit_market_reg,5_regulation
1970,CHL,Chile,3.58,53,4,7.202496904,5.944246489,2,5.048914464,0,7.875,0.777777778,1.019288889,4.530253934,7.54,1.862,10,5.983063483,4.6,0.2,2,2.266666667,6.148481816,5.134636847
1970,COL,Colombia,4.81,41,4,8.432819389,9.332425068,4,6.216409694,2.3,2.825,0.888888889,2.659762238,7.985569258,8.98,8.02,0,6.246392314,4.6,7.8,0,4.133333333,8,5.157306667
1970,ECU,Ecuador,4.22,52,4,8.006411673,8.86239782,2,5.003205837,2.3,6.675,0.888888889,2.659762238,8.689357313,9.284,8.174,0,6.536839328,0.4,5.6,2,2.666666667,5.315315315,4.360714387
1970,ISL,Iceland,5.95,28,3,6.672593665,7.343324251,7,6.836296832,8.3,10,1,7.09436087,8.693531518,7.564,6.714,0,5.742882879,3.333333333,9,0,4.111111111,9.209209209,5.395794532
1970,IRN,Iran,5.77,32,3,2.318399362,8.959202209,2,5.479601105,4.9,2.05,0.555555556,3.651221418,9.64,9.56,9.666,5,8.4665,2.4,9,5,5.466666667,9.72972973,3.739907668
1970,KOR,"Korea, South",5.84,31,3,8.461119061,9.873621,6,8.11158002,6.5,6.8,0.777777778,5.193085991,5.674572867,9.288,6.174,0,5.284143217,8.333333333,6,0,4.777777778,9.95995996,4.815577063
1970,MEX,Mexico,6.78,15,2,9.353526639,9.524127003,4,7.625884547,4.9,7.075,1,4.694427536,9.305004477,9.212,8.208,10,9.181251119,4.8,10,2,5.6,4.724724725,4.870344531
1970,MAR,Morocco,4.74,43,4,7.627118441,8.760217984,2,4.813559221,3.6,2.05,0.444444444,2.712177857,9.474489101,9.024,9.306,0,6.951122275,5.666666667,7.8,0,4.488888889,5,4.5876015
1970,NGA,Nigeria,4.28,49,4,9.017051401,9.91904849,10,9.64536663,2.8,1.625,0.925925926,3.013355341,8.388710053,2.068,0,0,2.614177513,5.6,0,0,1.866666667,2,4.821793333
1970,ARG,Argentina,5.67,33,3,7.928460123,7.738419619,4,5.964230062,3.6,5.775,0.888888889,3.546694123,6.412953636,6.216,8.84,10,7.867238409,2.376666667,10,2,2.758888889,6.979479479,5.30538974
1970,AUS,Australia,6.93,14,2,6.166002746,7.602179837,4,5.083001373,9.6,10,1,8.033465217,9.964861541,9.608,8.904,10,9.619215385,7.533333333,10,2,6.511111111,7.921921922,5.386294426
1970,AUT,Austria,6.51,19,2,5.453119774,6.065440216,2,5.759279995,9.075,10,0.333333333,8.001915612,9.742178307,9.708,9.052,5,8.375544577,8.266666667,10,2,6.755555556,7.156156156,5.161494745
1970,BEL,Belgium,7.44,6,1,6.393464462,4.476514484,6,5.434989473,10,10,0.555555556,6.491722224,9.748076383,9.724,9.09,10,9.640519096,9.733333333,10,10,9.911111111,8.458765392,5.700799363
1970,BRA,Brazil,5.28,38,3,7.592824174,5.925411587,4,6.12955894,7,6.7,0.555555556,4.78742174,5.459782711,6.92,6.576,5,5.988945678,5.6,7.2,0,4.266666667,6.442776109,5.241610598
1970,CAN,Canada,8,3,1,3.768244588,7.792915531,8,4.89029003,10,10,1,8.3465,9.925546959,9.812,9.036,10,9.69338674,8.4,10,8,8.8,9.065732399,8.2572162
1970,COD,"Congo, Dem. R.",4.26,51,4,7.207953604,9.918256131,0,3.603976802,1.825,1.625,0.333333333,1.593123576,6.957202272,0,9.34,10,6.574300568,0,6.2,2,2.733333333,3.438438438,4.130111942
1970,DNK,Denmark,7.39,9,1,3.738410981,4.877384196,6,3.345331096,9.9,10,1,8.242155072,9.311825939,9.724,8.332,0,6.841956485,8.733333333,10,5,7.911111111,9,6.55165
1970,FIN,Finland,7.12,11,1,5.782667744,6.267029973,7,6.391333872,8.3,10,1,7.09436087,8.973869207,8.768,9.23,5,7.992967302,9,10,2,7,9.61961962,7.09855981
1970,FRA,France,6.51,19,2,5.811066568,5.083300856,5.5,5.447183712,8.7,9.55,0.888888889,6.995873672,9.838385504,9.436,8.874,0,7.037096376,9.733333333,9.6,2,7.111111111,8.463129796,5.952314898
1970,DEU,Germany,7.4,8,1,5.175827167,6.103542234,6.25,4.426456467,10,9.55,1,8.3465,9.42,9.16,9.312,10,9.473,9.666666667,10,8,9.222222222,7.802802803,5.548818068
1970,GRC,Greece,6.47,21,2,8.520863945,9.608504109,6,8.043122685,6.1,8.275,1,5.529186957,9.634558746,9.564,9.218,5,8.354139686,6.866666667,9.6,2,6.155555556,4.901568235,4.254200784
1970,GTM,Guatemala,6.69,17,2,9.057256948,9.939074503,8,8.99877715,1.875,1.625,0.777777778,2.135930989,9.759623984,9.204,9,0,6.990905996,5.933333333,8.2,2,5.377777778,8.75975976,5.412216196
1970,HKG,Hong Kong,8.34,1,1,8.865154958,9.904632153,10,9.621718319,9.1,9.55,1,7.720430435,8.97,8.256,8.288,10,8.848,10,10,5,8.333333333,10,7.159230848
1970,IND,India,5.08,40,3,8.685788321,8.882833788,4,4.228596107,4.1,7,0.777777778,3.616318197,9.161451918,8.152,9.668,0,6.745362979,0.066666667,0,0,2.888888889,5.305972639,5.734127638
1970,IDN,Indonesia,4.27,50,4,9.035636652,9.395021125,2,6.810219259,4.5,2.05,0.333333333,2.920928502,0,0,7.276,10,4.319,5.4,6.6,0,4,1,3.311983333
